,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,F1Score,F1Score
,crl_root,crl_hips__C,crl_spine__C,crl_spine01__C,crl_shoulder__L,crl_arm__L,crl_foreArm__L,crl_hand__L,crl_neck__C,crl_Head__C,crl_eye__L,crl_eye__R,crl_shoulder__R,crl_arm__R,crl_foreArm__R,crl_hand__R,crl_thigh__R,crl_leg__R,crl_foot__R,crl_toe__R,crl_toeEnd__R,crl_thigh__L,crl_leg__L,crl_foot__L,crl_toe__L,crl_toeEnd__L,end,best
65,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0.8324291706085205,0.8530411720275879
66,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0.8446574211120605,0.8294320702552795
67,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0.8356180191040039,0.8442901372909546
68,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.8354281187057495,0.8460222482681274
69,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0.8492541313171387,0.850012481212616
70,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0.8441685438156128,0.8610663414001465
71,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0.8285313844680786,0.8326937556266785
72,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0.849690318107605,0.8483821749687195
73,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8387855291366577,0.8363668918609619
74,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0.8687961101531982,0.8629752397537231
75,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0.8138391971588135,0.8022491335868835
76,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0.822113037109375,0.8252410888671875
77,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0.7924506664276123,0.8543537855148315
78,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0.855509340763092,0.8613385558128357
79,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.8304949998855591,0.8483821749687195
